"Reference","Qty","Value","JLCPCB P#"
"C1,C14,C16","3","4.7µF","C1746"
"C2,C3,C4,C5,C9,C12,C13,C15","8","100nF","C1525"
"C6","1","10nF","C1524"
"C7,C8","2","1µF","C1592"
"C10,C11","2","14pF","C458857"
"D1","1","RED","C49018"
"D2","1","RB161VA-20TR","C308724"
"FB1","1","120R","C5671"
"J1","1","USB MiniB","C2688795"
"J2","1","JTAG ST_STDC14","C5307809"
"J3,J4,J5","3","Left,Right,SWDBG",""
"R1,R2,R5","3","10k","C188363"
"R3,R4","2","22","C1203"
"R6","1","0R","C17477"
"R7","1","1k5","C4310"
"SW1","1","SW_SPDT","C92660"
"U1","1","STM32F103C8T6","C8734"
"U2","1","USBLC6-2SC6","C7519"
"U3","1","SPX3819M5-L-3-3","C20617301"
"Y1","1","16MHz","C12668"
