Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7µF","R_0805_2012Metric",109.100000,-102.000000,0.000000,top
"C2","100nF","C_0402_1005Metric",109.120000,-103.800000,0.000000,top
"C3","100nF","C_0402_1005Metric",105.800000,-106.520000,90.000000,top
"C4","100nF","C_0402_1005Metric",117.600000,-107.180000,-90.000000,top
"C5","100nF","C_0402_1005Metric",114.420000,-115.700000,180.000000,top
"C6","10nF","C_0402_1005Metric",105.500000,-111.620000,90.000000,top
"C7","1µF","C_0603_1608Metric",103.700000,-113.625000,90.000000,top
"C8","1µF","C_0603_1608Metric",101.400000,-113.600000,90.000000,top
"C9","100nF","C_0402_1005Metric",98.600000,-111.800000,-90.000000,top
"C10","14pF","C_0402_1005Metric",102.850000,-107.500000,90.000000,top
"C11","14pF","C_0402_1005Metric",102.850000,-109.750000,90.000000,top
"C12","100nF","C_0402_1005Metric",123.000000,-114.520000,-90.000000,top
"C13","100nF","C_0402_1005Metric",127.862500,-116.370000,-90.000000,top
"C14","4.7µF","R_0805_2012Metric",126.112500,-117.552500,-90.000000,top
"C15","100nF","C_0402_1005Metric",120.156600,-114.747600,90.000000,top
"C16","4.7µF","R_0805_2012Metric",118.156600,-115.767600,90.000000,top
"D1","RED","LED_1206_3216Metric",123.400000,-121.900000,180.000000,top
"D2","RB161VA-20TR","D_SOD-323",119.200000,-119.000000,0.000000,top
"FB1","120R","R_0805_2012Metric",102.500000,-116.200000,180.000000,top
"J1","USB MiniB","KH-MINI-SMT-5P-Cu",134.200000,-108.700000,90.000000,top
"J2","JTAG ST_STDC14","FTSH-107-01-L-DV-K",129.785000,-96.195000,90.000000,top
"J3","SWDBG","PinHeader_1x06_P2.54mm_Vertical",85.800000,-110.860000,180.000000,top
"J4","Left","PinHeader_1x20_P2.54mm_Vertical",85.000000,-132.000000,90.000000,top
"J5","Right","PinHeader_1x20_P2.54mm_Vertical",85.000000,-78.000000,90.000000,top
"R1","10k","R_0603_1608Metric",104.500000,-98.200000,0.000000,top
"R2","10k","R_0603_1608Metric",96.975000,-114.700000,0.000000,top
"R3","22","R_0603_1608Metric",121.975000,-109.500000,0.000000,top
"R4","22","R_0603_1608Metric",121.975000,-108.000000,0.000000,top
"R5","10k","R_0603_1608Metric",116.075000,-124.000000,180.000000,top
"R6","0R","R_0805_2012Metric",125.662500,-114.540000,0.000000,top
"R7","1k5","R_0805_2012Metric",128.287500,-120.140000,90.000000,top
"SW1","SW_SPDT","K3-1235S-F1",93.950000,-105.700000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",111.650000,-109.750000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",125.587500,-108.750000,180.000000,top
"U3","SPX3819M5-L-3-3","SOT-23-5",122.862500,-117.490000,180.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",100.550000,-108.600000,-90.000000,top
